"LATEST_COUNTED_DHSS_REGION","county","ONSET_DATE","CASES"
"EASTERN","All",2020-03-04,3
"EASTERN","All",2020-02-27,1
"NORTHWEST","All",2020-03-02,3
"SOUTHWEST","All",2020-03-08,2
"SOUTHWEST","All",2020-03-04,1
"EASTERN","All",2020-03-13,22
"EASTERN","All",2020-03-11,7
"SOUTHWEST","All",2020-03-12,6
"CENTRAL","All",2020-03-07,1
"EASTERN","All",2020-03-16,46
"NORTHWEST","All",2020-03-11,13
"EASTERN","All",2020-03-15,24
"NORTHWEST","All",2020-03-15,23
"SOUTHWEST","All",2020-03-18,9
"CENTRAL","All",2020-03-12,2
"NORTHWEST","All",2020-03-16,20
"CENTRAL","All",2020-03-15,7
"CENTRAL","All",2020-03-16,11
"NORTHWEST","All",2020-03-14,8
"NORTHWEST","All",2020-03-12,9
"NORTHWEST","All",2020-03-17,28
"SOUTHEAST","All",2020-02-28,1
"NORTHWEST","All",2020-03-08,2
"SOUTHWEST","All",2020-03-09,1
"NORTHWEST","All",2020-03-19,30
"NORTHWEST","All",2020-03-09,4
"CENTRAL","All",2020-03-14,1
"CENTRAL","All",2020-03-17,8
"NORTHWEST","All",2020-03-20,30
"CENTRAL","All",2020-03-18,8
"NORTHWEST","All",2020-03-10,5
"EASTERN","All",2020-03-20,69
"SOUTHEAST","All",2020-03-06,3
"SOUTHWEST","All",2020-03-15,4
"CENTRAL","All",2020-03-19,8
"EASTERN","All",2020-03-21,56
"EASTERN","All",2020-03-14,15
"SOUTHWEST","All",2020-03-19,10
"SOUTHWEST","All",2020-03-10,4
"SOUTHWEST","All",2020-03-21,9
"EASTERN","All",2020-03-12,10
"EASTERN","All",2020-03-22,73
"EASTERN","All",2020-03-19,53
"NORTHWEST","All",2020-03-18,38
"EASTERN","All",2020-03-18,58
"EASTERN","All",2020-03-08,8
"EASTERN","All",2020-03-17,38
"EASTERN","All",2020-03-06,8
"EASTERN","All",2020-03-07,2
"NORTHWEST","All",2020-03-04,2
"SOUTHWEST","All",2020-03-20,15
"EASTERN","All",2020-03-09,11
"EASTERN","All",2020-03-03,5
"EASTERN","All",2020-03-23,116
"CENTRAL","All",2020-03-20,7
"EASTERN","All",2020-03-05,1
"NORTHWEST","All",2020-03-21,20
"SOUTHWEST","All",2020-03-16,5
"NORTHWEST","All",2020-03-13,7
"SOUTHWEST","All",2020-03-23,18
"CENTRAL","All",2020-03-21,21
"CENTRAL","All",2020-03-22,16
"SOUTHEAST","All",2020-03-12,2
"SOUTHWEST","All",2020-03-06,2
"SOUTHWEST","All",2020-03-17,12
"NORTHWEST","All",2020-03-22,26
"EASTERN","All",2020-03-24,88
"CENTRAL","All",2020-03-23,22
"NORTHWEST","All",2020-03-07,3
"NORTHWEST","All",2020-03-23,48
"SOUTHEAST","All",2020-03-18,4
"NORTHWEST","All",2020-03-25,40
"SOUTHEAST","All",2020-03-21,4
"SOUTHEAST","All",2020-03-15,3
"NORTHWEST","All",2020-03-24,28
"EASTERN","All",2020-02-19,1
"SOUTHEAST","All",2020-03-17,2
"SOUTHEAST","All",2020-03-19,2
"SOUTHEAST","All",2020-03-25,8
"SOUTHEAST","All",2020-03-23,11
"EASTERN","All",2020-03-25,106
"SOUTHEAST","All",2020-03-22,8
"SOUTHWEST","All",2020-03-25,7
"EASTERN","All",2020-03-26,124
"EASTERN","All",2020-03-02,4
"CENTRAL","All",2020-03-02,2
"CENTRAL","All",2020-03-24,16
"NORTHWEST","All",2020-03-26,38
"EASTERN","All",2020-03-30,128
"CENTRAL","All",2020-03-26,10
"EASTERN","All",2020-03-27,118
"EASTERN","All",2020-04-10,162
"SOUTHEAST","All",2020-03-20,6
"EASTERN","All",2020-03-10,7
"CENTRAL","All",2020-03-27,9
"EASTERN","All",2020-03-29,123
"SOUTHWEST","All",2020-03-22,8
"SOUTHWEST","All",2020-03-27,6
"SOUTHEAST","All",2020-03-13,1
"NORTHWEST","All",2020-03-27,33
"EASTERN","All",2020-03-28,118
"SOUTHEAST","All",2020-03-28,11
"SOUTHWEST","All",2020-03-26,7
"SOUTHEAST","All",2020-03-26,7
"CENTRAL","All",2020-03-28,11
"CENTRAL","All",2020-03-25,14
"SOUTHEAST","All",2020-03-09,2
"SOUTHWEST","All",2020-03-24,7
"SOUTHEAST","All",2020-03-24,6
"SOUTHWEST","All",2020-03-14,2
"NORTHWEST","All",2020-03-06,2
"NORTHWEST","All",2020-03-28,43
"NORTHWEST","All",2020-04-07,41
"SOUTHEAST","All",2020-03-27,8
"EASTERN","All",2020-03-01,2
"NORTHWEST","All",2020-03-30,41
"NORTHWEST","All",2020-03-29,30
