"LATEST_COUNTED_DHSS_REGION","county","ONSET_DATE","CASES"
"NORTHWEST","All",2020-03-02,1
"CENTRAL","All",2020-03-07,1
"EASTERN","All",2020-03-13,2
"SOUTHWEST","All",2020-03-09,1
"NORTHWEST","All",2020-03-12,1
"SOUTHWEST","All",2020-03-15,1
"SOUTHWEST","All",2020-03-21,1
"SOUTHWEST","All",2020-03-18,1
"EASTERN","All",2020-03-20,5
"EASTERN","All",2020-03-22,6
"EASTERN","All",2020-03-17,1
"EASTERN","All",2020-03-15,2
"EASTERN","All",2020-03-21,2
"NORTHWEST","All",2020-03-20,3
"EASTERN","All",2020-03-23,10
"NORTHWEST","All",2020-03-04,1
"EASTERN","All",2020-03-19,8
"SOUTHEAST","All",2020-03-22,2
"EASTERN","All",2020-03-25,12
"EASTERN","All",2020-03-24,7
"EASTERN","All",2020-03-26,13
"SOUTHWEST","All",2020-03-23,2
"NORTHWEST","All",2020-03-21,2
"SOUTHWEST","All",2020-03-17,1
"NORTHWEST","All",2020-03-22,1
"EASTERN","All",2020-04-10,11
"NORTHWEST","All",2020-03-23,3
"CENTRAL","All",2020-03-19,1
"NORTHWEST","All",2020-03-19,1
"EASTERN","All",2020-03-27,14
"EASTERN","All",2020-03-18,4
"SOUTHEAST","All",2020-03-24,1
"NORTHWEST","All",2020-03-27,5
"EASTERN","All",2020-03-28,13
"NORTHWEST","All",2020-03-17,2
"NORTHWEST","All",2020-03-26,3
"EASTERN","All",2020-03-29,6
"EASTERN","All",2020-03-30,11
"EASTERN","All",2020-04-05,22
"NORTHWEST","All",2020-03-28,2
"EASTERN","All",2020-03-31,12
"EASTERN","All",2020-03-08,1
"NORTHWEST","All",2020-03-31,2
"SOUTHWEST","All",2020-03-20,1
"NORTHWEST","All",2020-03-25,2
"EASTERN","All",2020-04-01,9
"SOUTHWEST","All",2020-04-02,1
"EASTERN","All",2020-04-03,14
"EASTERN","All",2020-04-02,7
"EASTERN","All",2020-03-16,3
"CENTRAL","All",2020-03-28,1
"EASTERN","All",2020-04-04,14
"NORTHWEST","All",2020-04-04,2
"EASTERN","All",2020-04-08,18
"EASTERN","All",2020-04-06,12
"NORTHWEST","All",2020-04-06,4
"NORTHWEST","All",2020-04-07,3
"EASTERN","All",2020-04-07,25
"NORTHWEST","All",2020-04-05,1
"EASTERN","All",2020-04-16,22
"NORTHWEST","All",2020-04-01,3
"SOUTHEAST","All",2020-03-27,1
"EASTERN","All",2020-04-09,13
"NORTHWEST","All",2020-04-09,1
"EASTERN","All",2020-04-12,13
"SOUTHEAST","All",2020-04-09,2
"SOUTHEAST","All",2020-04-13,1
"EASTERN","All",2020-04-11,14
"EASTERN","All",2020-04-14,18
"NORTHWEST","All",2020-04-11,1
"EASTERN","All",2020-04-13,14
"EASTERN","All",2020-04-17,13
"EASTERN","All",2020-04-15,14
"SOUTHEAST","All",2020-04-15,2
"CENTRAL","All",2020-04-15,1
"SOUTHEAST","All",2020-04-10,1
"SOUTHWEST","All",2020-04-01,1
"EASTERN","All",2020-04-18,14
"NORTHWEST","All",2020-03-29,1
"NORTHWEST","All",2020-04-17,1
"EASTERN","All",2020-04-19,19
"EASTERN","All",2020-04-20,20
"EASTERN","All",2020-04-21,19
"NORTHWEST","All",2020-04-21,1
"EASTERN","All",2020-04-22,15
"EASTERN","All",2020-04-23,19
"EASTERN","All",2020-04-28,8
"NORTHWEST","All",2020-04-23,1
"EASTERN","All",2020-04-24,17
"EASTERN","All",2020-05-07,12
"EASTERN","All",2020-04-25,16
"EASTERN","All",2020-03-06,1
"EASTERN","All",2020-04-26,20
"EASTERN","All",2020-04-27,11
"NORTHWEST","All",2020-04-27,1
"SOUTHEAST","All",2020-04-23,1
"NORTHWEST","All",2020-04-28,1
"EASTERN","All",2020-04-30,8
"EASTERN","All",2020-04-29,14
"SOUTHEAST","All",2020-04-30,3
"SOUTHEAST","All",2020-04-27,1
"EASTERN","All",2020-05-13,2
"EASTERN","All",2020-05-01,19
"EASTERN","All",2020-05-02,11
"NORTHWEST","All",2020-05-02,1
"EASTERN","All",2020-05-03,15
"SOUTHEAST","All",2020-04-29,1
"NORTHWEST","All",2020-05-01,1
"EASTERN","All",2020-05-04,9
"SOUTHEAST","All",2020-05-02,1
"EASTERN","All",2020-05-05,6
"EASTERN","All",2020-05-06,11
"NORTHWEST","All",2020-05-05,2
"EASTERN","All",2020-05-11,5
"NORTHWEST","All",2020-05-04,1
"EASTERN","All",2020-05-08,9
"EASTERN","All",2020-05-09,5
"NORTHWEST","All",2020-05-16,4
"EASTERN","All",2020-05-10,3
"EASTERN","All",2020-05-12,11
"SOUTHEAST","All",2020-05-10,1
"SOUTHEAST","All",2020-05-13,2
"NORTHWEST","All",2020-05-13,3
"SOUTHEAST","All",2020-05-14,3
"NORTHWEST","All",2020-05-14,2
"NORTHWEST","All",2020-05-21,1
"SOUTHEAST","All",2020-05-05,1
"SOUTHEAST","All",2020-05-08,1
"EASTERN","All",2020-05-14,8
"SOUTHEAST","All",2020-05-15,2
"EASTERN","All",2020-05-15,8
"NORTHWEST","All",2020-05-15,2
"EASTERN","All",2020-05-18,4
"EASTERN","All",2020-05-17,3
"EASTERN","All",2020-05-16,3
"NORTHWEST","All",2020-05-18,1
"NORTHWEST","All",2020-05-17,1
"EASTERN","All",2020-05-21,1
"EASTERN","All",2020-05-20,1
"EASTERN","All",2020-06-09,2
"EASTERN","All",2020-05-19,1
"NORTHWEST","All",2020-05-19,2
"NORTHWEST","All",2020-05-22,2
"NORTHWEST","All",2020-05-24,1
"EASTERN","All",2020-05-24,2
"EASTERN","All",2020-05-23,2
"EASTERN","All",2020-05-25,1
"NORTHWEST","All",2020-05-26,1
"CENTRAL","All",2020-05-24,1
"EASTERN","All",2020-05-27,2
"EASTERN","All",2020-05-28,3
"CENTRAL","All",2020-05-29,1
"NORTHWEST","All",2020-05-20,1
"NORTHWEST","All",2020-05-27,2
"NORTHWEST","All",2020-05-31,2
"EASTERN","All",2020-05-26,1
"EASTERN","All",2020-06-01,4
"SOUTHEAST","All",2020-05-28,1
"EASTERN","All",2020-06-02,1
"SOUTHEAST","All",2020-05-31,1
"NORTHWEST","All",2020-05-29,1
"EASTERN","All",2020-06-03,1
"NORTHWEST","All",2020-06-04,1
"EASTERN","All",2020-06-04,1
"EASTERN","All",2020-06-05,1
"EASTERN","All",2020-06-07,1
"SOUTHEAST","All",2020-06-07,1
"SOUTHWEST","All",2020-06-07,1
"SOUTHWEST","All",2020-06-11,1
"SOUTHEAST","All",2020-04-28,1
"NORTHWEST","All",2020-04-08,1
"NORTHWEST","All",2020-04-12,1
"SOUTHWEST","All",2020-04-14,1
"CENTRAL","All",2020-04-19,1
"NORTHWEST","All",2020-05-08,1
"CENTRAL","All",2020-05-31,1
"EASTERN","All",2020-05-29,1
"NORTHWEST","All",2020-03-15,1
"SOUTHWEST","All",2020-03-08,1
"CENTRAL","All",2020-03-23,1
"CENTRAL","All",2020-04-03,1
"NORTHWEST","All",2020-05-30,1
"NORTHWEST","All",2020-04-22,1
"EASTERN","All",2020-03-14,1
"SOUTHEAST","All",2020-06-02,1
"EASTERN","St louis",2020-03-13,2
"EASTERN","St louis",2020-03-20,5
"EASTERN","St louis",2020-03-22,5
"EASTERN","St Charles",2020-03-22,1
"EASTERN","St louis",2020-03-17,1
"EASTERN","St louis",2020-03-15,2
"EASTERN","St louis",2020-03-21,2
"EASTERN","St Charles",2020-03-23,2
"EASTERN","St Charles",2020-03-19,1
"EASTERN","St louis",2020-03-25,11
"NORTHWEST","Kansas City",2020-03-20,1
"EASTERN","St louis",2020-03-24,4
"EASTERN","St louis",2020-03-26,10
"EASTERN","St Charles",2020-03-26,1
"EASTERN","St louis",2020-03-19,7
"EASTERN","St louis",2020-04-10,9
"NORTHWEST","Kansas City",2020-03-23,2
"EASTERN","St Charles",2020-03-27,2
"EASTERN","St louis",2020-03-18,4
"NORTHWEST","Kansas City",2020-03-27,2
"EASTERN","St louis",2020-03-28,11
"NORTHWEST","Kansas City",2020-03-17,1
"NORTHWEST","Kansas City",2020-03-26,2
"EASTERN","St louis",2020-03-27,11
"EASTERN","St louis",2020-03-29,6
"EASTERN","St louis",2020-03-30,8
"EASTERN","St louis",2020-04-05,17
"EASTERN","St louis",2020-03-23,7
"EASTERN","St Charles",2020-03-28,2
"EASTERN","St louis",2020-03-31,12
"EASTERN","St louis",2020-03-08,1
"NORTHWEST","Kansas City",2020-03-31,1
"EASTERN","St Charles",2020-03-25,1
"EASTERN","St louis",2020-04-01,7
"NORTHWEST","Kansas City",2020-03-25,1
"EASTERN","St louis",2020-04-03,10
"EASTERN","St louis",2020-04-02,4
"EASTERN","St Charles",2020-04-02,1
"EASTERN","St Charles",2020-04-01,2
"EASTERN","St Charles",2020-04-03,2
"EASTERN","St Charles",2020-03-16,1
"EASTERN","St louis",2020-04-04,12
"NORTHWEST","Kansas City",2020-04-04,2
"EASTERN","St Charles",2020-03-30,2
"EASTERN","St louis",2020-04-08,13
"EASTERN","St Charles",2020-04-05,3
"EASTERN","St louis",2020-04-06,9
"EASTERN","St Charles",2020-04-06,1
"NORTHWEST","Kansas City",2020-04-07,1
"EASTERN","St Charles",2020-04-07,1
"NORTHWEST","Kansas City",2020-04-05,1
"EASTERN","St louis",2020-04-07,20
"EASTERN","St louis",2020-04-16,17
"EASTERN","St Charles",2020-04-08,3
"NORTHWEST","Kansas City",2020-04-01,1
"EASTERN","St louis",2020-04-09,11
"EASTERN","St Charles",2020-04-09,1
"EASTERN","St Charles",2020-04-10,2
"EASTERN","St louis",2020-04-11,11
"EASTERN","St louis",2020-04-12,9
"EASTERN","St Charles",2020-04-11,2
"EASTERN","St louis",2020-04-14,15
"NORTHWEST","Kansas City",2020-04-11,1
"EASTERN","St louis",2020-04-13,12
"EASTERN","St Charles",2020-04-14,2
"EASTERN","St Charles",2020-04-13,2
"EASTERN","St louis",2020-04-17,13
"EASTERN","St louis",2020-04-15,13
