DATE,COUNTY,STATE,FIPS,CASES,DEATHS,ISO3166_1,ISO3166_2,CASES_SINCE_PREV_DAY,DEATHS_SINCE_PREV_DAY,LAST_UPDATE_DATE
2020-03-23,Adair,Missouri,29001,2,0,US,MO,0,0,2020-04-04 16:02:00.462
2020-03-24,Adair,Missouri,29001,2,0,US,MO,0,0,2020-04-04 16:02:00.462
2020-03-25,Adair,Missouri,29001,2,0,US,MO,0,0,2020-04-04 16:02:00.462
2020-03-26,Adair,Missouri,29001,2,0,US,MO,0,0,2020-04-04 16:02:00.462
2020-03-27,Adair,Missouri,29001,2,0,US,MO,0,0,2020-04-04 16:02:00.462
2020-03-28,Adair,Missouri,29001,2,0,US,MO,0,0,2020-04-04 16:02:00.462
2020-03-29,Adair,Missouri,29001,2,0,US,MO,0,0,2020-04-04 16:02:00.462
2020-03-30,Adair,Missouri,29001,2,0,US,MO,0,0,2020-04-04 16:02:00.462
2020-03-31,Adair,Missouri,29001,2,0,US,MO,0,0,2020-04-04 16:02:00.462
2020-04-01,Adair,Missouri,29001,3,0,US,MO,1,0,2020-04-04 16:02:00.462
2020-04-02,Adair,Missouri,29001,6,0,US,MO,3,0,2020-04-04 16:02:00.462
2020-04-03,Adair,Missouri,29001,8,0,US,MO,2,0,2020-04-04 16:02:00.462
2020-03-27,Atchison,Missouri,29005,1,0,US,MO,0,0,2020-04-04 16:02:00.462
2020-03-28,Atchison,Missouri,29005,1,0,US,MO,0,0,2020-04-04 16:02:00.462
2020-03-29,Atchison,Missouri,29005,1,0,US,MO,0,0,2020-04-04 16:02:00.462
2020-03-30,Atchison,Missouri,29005,1,0,US,MO,0,0,2020-04-04 16:02:00.462
2020-03-31,Atchison,Missouri,29005,1,0,US,MO,0,0,2020-04-04 16:02:00.462
2020-04-01,Atchison,Missouri,29005,1,0,US,MO,0,0,2020-04-04 16:02:00.462
2020-04-02,Atchison,Missouri,29005,1,0,US,MO,0,0,2020-04-04 16:02:00.462
2020-04-03,Atchison,Missouri,29005,1,0,US,MO,0,0,2020-04-04 16:02:00.462
2020-03-27,Barry,Missouri,29009,1,0,US,MO,0,0,2020-04-04 16:02:00.462
