ISO3166_1,ISO3166_2,FIPS,LATITUDE,LONGITUDE,STATE,COUNTY,TOTAL_POPULATION,TOTAL_MALE_POPULATION,TOTAL_FEMALE_POPULATION
US,MO,29097,37.0618814,-94.1144399,MO,Jasper County,117376,57174,60202
US,MO,29099,38.1576384,-90.3214094,MO,Jefferson County,222453,110600,111853
US,MO,29101,38.7948244,-93.5273504,MO,Johnson County,54229,27952,26277
US,MO,29103,40.084374,-91.9998495,MO,Knox County,3997,2025,1972
US,MO,29105,37.5838267,-92.2943515,MO,Laclede County,35505,17608,17897
US,MO,29107,39.2082336,-93.5106675,MO,Lafayette County,32789,16121,16668
US,MO,29109,37.0129415,-93.6322142,MO,Lawrence County,38204,19079,19125
US,MO,29111,40.0447379,-91.508008,MO,Lewis County,10146,5094,5052
US,MO,29113,39.0030198,-90.7324386,MO,Lincoln County,54286,27178,27108
US,MO,29115,39.7784906,-92.9088271,MO,Linn County,12319,5900,6419
US,MO,29117,39.6659081,-93.452823,MO,Livingston County,15057,6773,8284
US,MO,29121,39.6721161,-92.3814038,MO,Macon County,15399,7595,7804
US,MO,29123,37.5594237,-90.1958757,MO,Madison County,12403,6087,6316
US,MO,29125,38.2703669,-91.7241274,MO,Maries County,8987,4453,4534
US,MO,29127,39.6921477,-91.3348858,MO,Marion County,28858,13914,14944
US,MO,29119,36.5551055,-94.1404146,MO,McDonald County,22720,11570,11150
US,MO,29129,40.4303535,-93.4391488,MO,Mercer County,3702,1856,1846
US,MO,29131,38.0903552,-92.2250383,MO,Miller County,25011,12354,12657
US,MO,29133,36.9509014,-89.2267525,MO,Mississippi County,14112,7568,6544
US,MO,29135,38.798627,-92.4761107,MO,Moniteau County,15840,8295,7545
US,MO,29137,39.6504936,-91.7247437,MO,Monroe County,8642,4333,4309
US,MO,29139,38.9208888,-91.3216615,MO,Montgomery County,11820,5885,5935
US,MO,29141,38.2513579,-92.7260825,MO,Morgan County,20182,10136,10046
US,MO,29143,36.6493903,-89.4988897,MO,New Madrid County,18229,8758,9471
US,MO,29145,36.9972915,-94.0890893,MO,Newton County,58741,29291,29450
US,MO,29147,40.3746812,-94.6779053,MO,Nodaway County,23026,11399,11627
US,MO,29149,36.5828899,-91.2263068,MO,Oregon County,10922,5384,5538
US,MO,29151,38.3522406,-91.7288224,MO,Osage County,13704,7153,6551
US,MO,29153,36.5405304,-92.166234,MO,Ozark County,9450,4739,4711
US,MO,29155,36.154829,-89.6327587,MO,Pemiscot County,17599,8318,9281
US,MO,29157,37.6420272,-89.5725143,MO,Perry County,19152,9481,9671
US,MO,29159,38.6871117,-93.0802534,MO,Pettis County,42193,20704,21489
US,MO,29161,38.0140754,-91.5510844,MO,Phelps County,44833,23404,21429
US,MO,29163,39.3001512,-90.8995013,MO,Pike County,18475,10249,8226
